date,member_name,is_present
2024-04-02,Darryl David,False
2024-04-02,Heng Swee Keat,False
2024-04-02,Jamus Jerome Lim,False
2024-04-02,Mariam Jaafar,False
2024-04-02,Muhamad Faisal Bin Abdul Manap,False
2024-04-02,Joan Pereira,False
2024-04-02,Xie Yao Quan,False
2024-04-02,Seah Kian Peng,True
2024-04-02,Ang Wei Neng,True
2024-04-02,Baey Yam Keng,True
2024-04-02,Chan Chun Sing,True
2024-04-02,Cheryl Chan Wei Ling,True
2024-04-02,Usha Chandradas,True
2024-04-02,Chee Hong Tat,True
2024-04-02,Edward Chia Bing Hui,True
2024-04-02,Chong Kee Hiong,True
2024-04-02,Desmond Choo,True
2024-04-02,Eric Chua,True
2024-04-02,Keith Chua,True
2024-04-02,Chua Kheng Wee Louis,True
2024-04-02,Christopher de Souza,True
2024-04-02,Foo Mee Har,True
2024-04-02,Grace Fu Hai Yien,True
2024-04-02,Gan Kim Yong,True
2024-04-02,Gan Siow Huang,True
2024-04-02,Gan Thiam Poh,True
2024-04-02,Gerald Giam Yean Song,True
2024-04-02,Derrick Goh,True
2024-04-02,He Ting Ru,True
2024-04-02,Heng Chee How,True
2024-04-02,Shawn Huang Wei Zhong,True
2024-04-02,Indranee Rajah,True
2024-04-02,Janil Puthucheary,True
2024-04-02,Amy Khor Lean Suan,True
2024-04-02,Koh Poh Koon,True
2024-04-02,Kwek Hian Chuan Henry,True
2024-04-02,Desmond Lee,True
2024-04-02,Lee Hsien Loong,True
2024-04-02,Mark Lee,True
2024-04-02,Leong Mun Wai,True
2024-04-02,Liang Eng Hwa,True
2024-04-02,Lim Biow Chuan,True
2024-04-02,Sylvia Lim,True
2024-04-02,Lim Wee Kiak,True
2024-04-02,Low Yen Ling,True
2024-04-02,Masagos Zulkifli B M M,True
2024-04-02,Mohamad Maliki Bin Osman,True
2024-04-02,Mohd Fahmi Aliman,True
2024-04-02,Dr Muhammad Faishal Ibrahim,True
2024-04-02,Murali Pillai,True
2024-04-02,Nadia Ahmad Samdin,True
2024-04-02,Ng Eng Hen,True
2024-04-02,Louis Ng Kok Kwang,True
2024-04-02,Ng Ling Ling,True
2024-04-02,Ong Hua Han,True
2024-04-02,Rachel Ong,True
2024-04-02,Ong Ye Kung,True
2024-04-02,Neil Parekh Nimil Rajnikant,True
2024-04-02,Denise Phua Lay Peng,True
2024-04-02,Hazel Poa,True
2024-04-02,Poh Li San,True
2024-04-02,Pritam Singh,True
2024-04-02,Rahayu Mahzam,True
2024-04-02,Razwana Begum Abdul Rahim,True
2024-04-02,Saktiandi Supaat,True
2024-04-02,See Jinli Jean,True
2024-04-02,K Shanmugam,True
2024-04-02,Sharael Taha,True
2024-04-02,Sim Ann,True
2024-04-02,Sitoh Yih Pin,True
2024-04-02,Hany Soh,True
2024-04-02,Sun Xueling,True
2024-04-02,Syed Harun Alhabsyi,True
2024-04-02,Alvin Tan,True
2024-04-02,Carrie Tan,True
2024-04-02,Desmond Tan,True
2024-04-02,Tan Kiat How,True
2024-04-02,Dennis Tan Lip Fong,True
2024-04-02,Tan See Leng,True
2024-04-02,Jessica Tan Soon Neo,True
2024-04-02,Tan Wu Meng,True
2024-04-02,Patrick Tay Teck Guan,True
2024-04-02,Teo Chee Hean,True
2024-04-02,Josephine Teo,True
2024-04-02,Raj Joshua Thomas,True
2024-04-02,Tin Pei Ling,True
2024-04-02,Edwin Tong Chun Fai,True
2024-04-02,Vikram Nair,True
2024-04-02,Vivian Balakrishnan,True
2024-04-02,Wan Rizal,True
2024-04-02,Don Wee,True
2024-04-02,Lawrence Wong,True
2024-04-02,Alex Yam,True
2024-04-02,Yeo Wan Ling,True
2024-04-02,Yip Hon Weng,True
2024-04-02,Melvin Yong Yik Chye,True
2024-04-02,Zaqy Mohamad,True
2024-04-02,Zhulkarnain Abdul Rahim,True
